model,family,runtime_sec,val_accuracy,val_f1_macro,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro
EfficientNetB0 Embeddings + Logistic Regression,Transfer Learning + Linear Classifier,4.46,0.9571865443425076,0.9584962932974946,0.9518072289156626,0.9555290057082173,0.9523042711448508,0.95389274930245
MobileNetV2 Embeddings + Logistic Regression,Transfer Learning + Linear Classifier,4.53,0.9174311926605505,0.9246068567447878,0.9367469879518072,0.9331898079081915,0.9399202515144545,0.9364429542926485
Saved MobileNetV2 Keras Head,End-to-End Transfer Learning,82.7,0.908256880733945,0.9095537650489792,0.9156626506024096,0.9106097886468913,0.913062648569895,0.9107588480664491
HSV Histogram + HOG + Linear SVM,Classical ML,327.48,0.7431192660550459,0.7213303198477825,0.7168674698795181,0.7052535490945734,0.713212176980293,0.7084088750755418
